0-50, State-gov, 77516, AdvancedDegree, 13, NonMarried, Adm-clerical, Not-in-family, Occident, Male, 2174, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 83311, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 13, United-States, <=50K
0-50, Private, 215646, BasicDegree, 9, Married, Handlers-cleaners, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 234721, BasicDegree, 7, Married, Handlers-cleaners, Husband, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 338409, AdvancedDegree, 13, Married, Prof-specialty, Wife, Orient, Female, 0, 0, 40, Cuba, <=50K
0-50, Private, 284582, AdvancedDegree, 14, Married, Exec-managerial, Wife, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 160187, BasicDegree, 5, Married, Other-service, Not-in-family, Orient, Female, 0, 0, 16, Jamaica, <=50K
50-100, Self-emp-not-inc, 209642, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 45, United-States, >50K
0-50, Private, 45781, AdvancedDegree, 14, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 14084, 0, 50, United-States, >50K
0-50, Private, 159449, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 5178, 0, 40, United-States, >50K
0-50, Private, 280464, BasicDegree, 10, Married, Exec-managerial, Husband, Orient, Male, 0, 0, 80, United-States, >50K
0-50, State-gov, 141297, AdvancedDegree, 13, Married, Prof-specialty, Husband, Orient, Male, 0, 0, 40, India, >50K
0-50, Private, 122272, AdvancedDegree, 13, NonMarried, Adm-clerical, Own-child, Occident, Female, 0, 0, 30, United-States, <=50K
0-50, Private, 205019, AdvancedDegree, 12, NonMarried, Sales, Not-in-family, Orient, Male, 0, 0, 50, United-States, <=50K
0-50, Private, 121772, BasicDegree, 11, Married, Craft-repair, Husband, Orient, Male, 0, 0, 40, ?, >50K
0-50, Private, 245487, BasicDegree, 4, Married, Transport-moving, Husband, Occident, Male, 0, 0, 45, Mexico, <=50K
0-50, Self-emp-not-inc, 176756, BasicDegree, 9, NonMarried, Farming-fishing, Own-child, Occident, Male, 0, 0, 35, United-States, <=50K
0-50, Private, 186824, BasicDegree, 9, NonMarried, Machine-op-inspct, Unmarried, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 28887, BasicDegree, 7, Married, Sales, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Self-emp-not-inc, 292175, AdvancedDegree, 14, Married, Exec-managerial, Unmarried, Occident, Female, 0, 0, 45, United-States, >50K
0-50, Private, 193524, AdvancedDegree, 16, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 60, United-States, >50K
50-100, Private, 302146, BasicDegree, 9, Married, Other-service, Unmarried, Orient, Female, 0, 0, 20, United-States, <=50K
0-50, Federal-gov, 76845, BasicDegree, 5, Married, Farming-fishing, Husband, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 117037, BasicDegree, 7, Married, Transport-moving, Husband, Occident, Male, 0, 2042, 40, United-States, <=50K
50-100, Private, 109015, BasicDegree, 9, Married, Tech-support, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, Local-gov, 216851, AdvancedDegree, 13, Married, Tech-support, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 168294, BasicDegree, 9, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, ?, 180211, BasicDegree, 10, Married, ?, Husband, Orient, Male, 0, 0, 60, South, >50K
0-50, Private, 367260, BasicDegree, 9, Married, Exec-managerial, Not-in-family, Occident, Male, 0, 0, 80, United-States, <=50K
0-50, Private, 193366, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Local-gov, 190709, AdvancedDegree, 12, NonMarried, Protective-serv, Not-in-family, Occident, Male, 0, 0, 52, United-States, <=50K
0-50, Private, 266015, BasicDegree, 10, NonMarried, Sales, Own-child, Orient, Male, 0, 0, 44, United-States, <=50K
0-50, Private, 386940, AdvancedDegree, 13, Married, Exec-managerial, Own-child, Occident, Male, 0, 1408, 40, United-States, <=50K
0-50, Federal-gov, 59951, BasicDegree, 10, Married, Adm-clerical, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, State-gov, 311512, BasicDegree, 10, Married, Other-service, Husband, Orient, Male, 0, 0, 15, United-States, <=50K
0-50, Private, 242406, BasicDegree, 7, NonMarried, Machine-op-inspct, Unmarried, Occident, Male, 0, 0, 40, Puerto-Rico, <=50K
0-50, Private, 197200, BasicDegree, 10, NonMarried, Machine-op-inspct, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 544091, BasicDegree, 9, Married, Adm-clerical, Wife, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Private, 84154, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 0, 0, 38, ?, >50K
0-50, Self-emp-not-inc, 265477, AdvancedDegree, 12, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 507875, BasicDegree, 5, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 43, United-States, <=50K
50-100, Self-emp-not-inc, 88506, AdvancedDegree, 13, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 172987, AdvancedDegree, 13, Married, Tech-support, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Private, 94638, BasicDegree, 9, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 289980, BasicDegree, 9, NonMarried, Handlers-cleaners, Not-in-family, Occident, Male, 0, 0, 35, United-States, <=50K
50-100, Federal-gov, 337895, AdvancedDegree, 13, Married, Prof-specialty, Husband, Orient, Male, 0, 0, 40, United-States, >50K
50-100, Private, 144361, BasicDegree, 9, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 38, United-States, <=50K
0-50, Private, 128354, AdvancedDegree, 14, Married, Exec-managerial, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, State-gov, 101603, BasicDegree, 11, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 271466, BasicDegree, 11, NonMarried, Prof-specialty, Not-in-family, Occident, Male, 0, 0, 43, United-States, <=50K
0-50, Private, 32275, BasicDegree, 10, Married, Exec-managerial, Wife, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 226956, BasicDegree, 9, NonMarried, Other-service, Own-child, Occident, Female, 0, 0, 30, ?, <=50K
0-50, Private, 51835, BasicDegree, 15, Married, Prof-specialty, Wife, Occident, Female, 0, 1902, 60, Honduras, >50K
50-100, Federal-gov, 251585, AdvancedDegree, 13, Married, Exec-managerial, Not-in-family, Occident, Male, 0, 0, 55, United-States, >50K
0-50, Self-emp-inc, 109832, BasicDegree, 9, Married, Exec-managerial, Not-in-family, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Private, 237993, BasicDegree, 10, Married, Tech-support, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 216666, BasicDegree, 3, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, Mexico, <=50K
0-50, Private, 56352, BasicDegree, 11, Married, Other-service, Husband, Occident, Male, 0, 0, 40, Puerto-Rico, <=50K
0-50, Private, 147372, BasicDegree, 9, Married, Adm-clerical, Husband, Occident, Male, 0, 0, 48, United-States, <=50K
0-50, Private, 188146, BasicDegree, 9, Married, Machine-op-inspct, Husband, Occident, Male, 5013, 0, 40, United-States, <=50K
0-50, Private, 59496, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 2407, 0, 40, United-States, <=50K
0-50, ?, 293936, BasicDegree, 4, Married, ?, Not-in-family, Occident, Male, 0, 0, 40, ?, <=50K
0-50, Private, 149640, BasicDegree, 9, Married, Transport-moving, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
